#logElo, logEhi, logE, meanlogE, N, mean, mstat, msyshi, msyslo, std, sstat, ssyshi, ssyslo
#
# Auger Xmax values, ICRC'11, cf. arXiv:1107.4804
#
18.0, 18.1, 18.05, 18.050, 1407, 713.8, 1.6, 10.0, 8.1, 55.4, 2.1, 5.3, 5.5
18.1, 18.2, 18.15, 18.149, 1251, 722.0, 1.7, 10.1, 8.1, 56.1, 2.2, 5.2, 5.3
18.2, 18.3, 18.25, 18.248,  998, 734.0, 1.9, 10.2, 8.1, 56.9, 2.3, 5.2, 5.2
18.3, 18.4, 18.35, 18.349,  781, 736.7, 2.1, 10.3, 8.2, 54.1, 2.7, 5.1, 5.2
18.4, 18.5, 18.45, 18.448,  619, 743.6, 2.4, 10.5, 8.3, 55.1, 3.3, 5.1, 5.1
18.5, 18.6, 18.55, 18.547,  457, 746.9, 2.7, 10.6, 8.3, 53.5, 3.4, 5.1, 5.1
18.6, 18.7, 18.65, 18.650,  331, 751.3, 3.0, 10.8, 8.5, 51.3, 4.2, 5.1, 5.1
18.7, 18.8, 18.75, 18.750,  230, 749.8, 3.2, 11.0, 8.6, 44.6, 3.7, 5.1, 5.1
18.8, 18.9, 18.85, 18.849,  188, 750.6, 3.6, 11.2, 8.7, 45.4, 3.6, 5.1, 5.1
18.9, 19.0, 18.95, 18.946,  143, 756.5, 3.6, 11.3, 8.9, 38.7, 4.1, 5.1, 5.1
19.0, 19.2, 19.10, 19.094,  186, 763.8, 3.3, 11.6, 9.1, 40.9, 3.9, 5.1, 5.1
19.2, 19.4, 19.30, 19.289,  106, 766.2, 3.8, 12.0, 9.4, 34.9, 5.1, 5.1, 5.2
19.4,    0, 19.55, 19.547,   47, 771.5, 4.7, 12.5, 9.7, 27.0, 6.0, 5.2, 5.4
